Field, Oe	Frequency 1, GHz	Frequency 2, GHz	Bandwidth 1, GHz	Bandwidth 2, GHz
2914,50	3,5303349374	3,7031681419	0,1504727489	0,0087112973
2915,00	3,5312865041	3,7032125883	0,1470683245	0,0090266606
2915,50	3,5327158629	3,7031576410	0,1272209759	0,0096203752
2916,00	3,5343268918	3,7029906107	0,0969857775	0,0088373935
2916,50	3,5423192431	3,7033951063	0,0996386045	1,1178709851
2917,00	3,5448118381	3,7033415646	0,1219540524	1,1283517873
2917,50	3,5374997520	3,7034784128	0,1118576792	0,0072831593
2918,00	3,5390648897	3,7034915087	0,0982304743	0,0071836609
2918,50	3,5400512845	3,7034877060	0,1198793869	0,0116285898
2919,00	3,5415129908	3,7034457551	0,1150540640	0,0072816348
2919,50	3,5422852353	3,7034199716	0,1346818932	0,0055265975
2920,00	3,5440915061	3,7031414155	0,1195901895	0,0113629102
2920,50	3,5455237866	3,7031075788	0,1317481565	0,0075589925
2921,00	3,5464750575	3,7031982652	0,1104987693	0,0118061295
2921,50	3,5480573419	3,7035176878	0,0887122899	0,0116080002
2922,00	3,5488050374	3,7038451610	0,0717384788	0,0092150800
2922,50	3,5502967951	3,7041447443	0,0801559357	0,0096075109
2923,00	3,5510451483	3,7040643049	0,0831282683	0,0071303353
2923,50	3,5527990080	3,7044098239	0,0787262943	0,0089295232
2924,00	3,5534886609	3,7045023599	0,0902260930	0,0076633521
2924,50	3,5550866472	3,7042906294	0,1112986107	0,0069001097
2925,00	3,5568157574	3,7048543432	0,0982562410	0,0098949871
2925,50	3,5577468946	3,7051023653	0,1048874158	0,0098888904
2926,00	3,5593391825	3,7056086654	0,1221387471	0,0090387816
2926,50	3,5601442094	3,7051743104	0,1306626338	0,0118449622
2927,00	3,5616710312	3,7045418317	0,1181537819	0,0114923661
2927,50	3,5624232212	3,7046201530	0,1301658649	0,0085861104
2928,00	3,5640934212	3,7045775489	0,1844036160	0,0074486584
2928,50	3,5655070297	3,7043451483	0,1885105435	0,0207702787
2929,00	3,5672621303	3,7034291033	0,1211714605	0,0159673734
2929,50	3,5687879338	3,7034139481	0,1100009377	0,0159665022
2930,00	3,5696788542	3,7034558314	0,1156620783	0,0178042928
2930,50	3,5708723532	3,7036258997	0,1235624640	0,0095484478
2931,00	3,5720168866	3,7036054805	0,1110472076	0,0138624277
2931,50	3,5737274233	3,7035399249	0,1144322404	0,0179249869
2932,00	3,5753586931	3,7036034312	0,1235727737	0,0145261511
2932,50	3,5757846289	3,7037299923	0,1188526799	0,0099891883
2933,00	3,5773504755	3,7035566255	0,1264412127	0,0100323237
2933,50	3,5890706760	3,7035963507	0,1065387987	0,6799201644
2934,00	3,5897813150	3,7038998391	0,0952786596	0,2734750482
2934,50	3,5805589267	3,7039401980	0,1022252511	0,0072169904
2935,00	3,5821382010	3,7042667730	0,0885731979	0,0065778320
2935,50	3,5828288521	3,7043507273	0,0879762598	0,0054350413
2936,00	3,5843846197	3,7045521327	0,0885232350	0,0049838184
2936,50	3,5861211253	3,7048641988	0,0884342540	0,0070764411
2937,00	3,5871975793	3,7048532226	0,1034470749	0,0093281002
2937,50	3,5886170292	3,7676306560	1,6992509832	0,0061067246
2938,00	3,5894991348	3,7688586701	1,5474444667	0,0067628045
2938,50	3,5910542613	3,7043692678	0,3310786677	0,0063989552
2939,00	3,5919022663	3,7035938973	0,3801049528	0,0072513088
2939,50	3,5933584955	3,7033900402	0,1862358211	0,0044445103
2940,00	3,5941755024	3,7033650923	0,1396708391	0,0055508649
2940,50	3,5958849878	3,7030436644	0,1217080839	0,0068980787
2941,00	3,5975359758	3,7029804927	0,1077987033	0,0057058267
2941,50	3,5981596171	3,7032169051	0,1089270263	0,0052722000
2942,00	3,5999269099	3,7031620249	0,0987562530	0,0061554457
2942,50	3,6006031338	3,7030972522	0,1067504947	0,0050455448
2943,00	3,6021159103	3,7706806882	4,4529702453	0,0049004676
2943,50	3,6029205462	3,7034328922	0,1174315360	0,0060887388
2944,00	3,6048393860	3,7033976756	0,1043297796	0,0090274204
2944,50	3,6054566511	3,7033205233	0,1175742962	0,0057966206
2945,00	3,6070269958	3,7034122377	0,1149764670	0,0052322822
2945,50	3,6087588739	3,7030080453	0,1210114245	0,0065408931
2946,00	3,6095124976	3,7032450205	0,1135145558	0,0053058153
2946,50	3,6110548490	3,7034923685	0,1167744900	0,0049958273
2947,00	3,6120882725	3,7031777055	0,1212747679	0,0074294890
2947,50	3,6135842749	3,7031048446	0,1123478017	0,0076552296
2948,00	3,6141335326	3,7035389444	0,0913252307	0,0046732814
2948,50	3,6160959332	3,7041484958	0,0723625845	0,0073359439
2949,00	3,6168865206	3,7043843328	0,0644811452	0,0086777573
2949,50	3,6185388162	3,7045467472	0,0691105786	0,0076426617
2950,00	3,6200883783	3,7050308380	0,0705856092	0,0077720885
2950,50	3,6209978530	3,7680403316	1,5300046139	0,0082634287
2951,00	3,6223839292	3,7052509125	0,1025681598	0,0063441232
2951,50	3,6233408351	3,7032953013	7,5849829219	0,0067841244
2952,00	3,6252308030	3,7043984515	0,3780502352	0,0107761933
2952,50	3,6261310797	3,7053079956	0,2845279632	0,0118872787
2953,00	3,6279554239	3,7043705761	0,0841142928	0,0150748913
2953,50	3,6287201817	3,7040870134	0,0738727014	0,0116026471
2954,00	3,6303794050	3,7046285233	0,0903250750	0,0107039402
2954,50	3,6317637525	3,7042333975	0,1036930495	0,0084095957
2955,00	3,6327250924	3,7044552295	0,0966266360	0,0146366936
2955,50	3,6344108851	3,7046266024	0,1950160494	0,0125988827
2956,00	3,6349897537	3,7048585183	0,6502344380	0,0128391779
2956,50	3,6365341389	3,7032354290	0,1160305830	0,0072262163
2957,00	3,6374383114	3,7032800702	0,1263572154	0,0087566604
2957,50	3,6392903234	3,7035764450	0,1413796717	0,0105471272
2958,00	3,6402317523	3,7030914169	0,1148912890	0,0113179487
2958,50	3,6422792764	3,7035153598	0,1149957270	0,0194965381
2959,00	3,6439814093	3,7032447263	0,1096339358	0,0368224477
2959,50	3,6450215094	3,7035670645	0,1110033688	0,0167261181
2960,00	3,6465013164	3,7036193607	0,1038355309	0,0420069974
2960,50	3,6472134882	3,7035303949	0,1018535354	0,0143608541
2961,00	3,6495104000	3,7036637420	0,1102698496	0,1395693481
2961,50	NaN	3,7033547726	0,1192265357	NaN
2962,00	NaN	3,7034328355	0,1035888848	NaN
2962,50	NaN	3,7033070674	0,0918964991	NaN
2963,00	NaN	3,7031676738	0,0970538070	NaN
2963,50	NaN	3,7033081047	0,0659618539	NaN
2964,00	NaN	3,7036954637	0,0642418879	NaN
2964,50	NaN	3,7046000297	0,0394712612	NaN
2965,00	NaN	3,7051285635	0,0302103318	NaN
2965,50	NaN	3,7064063316	0,0214503112	NaN
2966,00	NaN	3,7069679927	0,0191842917	NaN
2966,50	3,6565826070	3,7081587027	0,0159367747	0,1475374080
2967,00	3,6581420304	3,7087572731	0,0141067057	0,3185509937
2967,50	3,6585733719	3,7099784274	0,0095406497	0,0561101712
2968,00	3,6599611278	3,7113666919	0,0092908754	0,0498682178
2968,50	3,6606561636	3,7119528146	0,0088515116	0,0647035838
2969,00	3,6621894576	3,7050774162	0,0134361546	0,0605139319
2969,50	3,6628446187	3,7028266596	0,0365694395	0,0679052087
2970,00	3,6641332542	3,7033281061	0,0265342241	0,0627982581
2970,50	3,6651694348	3,7034258826	0,0443972551	0,0667171982
2971,00	3,6663396175	3,7026614592	0,0199037235	0,0625365562
2971,50	3,6673391603	3,7036622086	0,0097938986	0,0642165734
2972,00	3,6687816751	3,7034511002	0,0197061246	0,0708046831
2972,50	3,6702512909	NaN	NaN	0,0686763601
