====================================================================================================
ДАННЫЕ СОБСТВЕННЫХ МОД
====================================================================================================

    Поле (Э)     Mode1_Re     Mode1_Im     Mode2_Re     Mode2_Im      Rec+_Re      Rec+_Im      Rec-_Re      Rec-_Im
     2916.00     3.534635     0.001477     3.673378     0.056721     3.619096    -0.089718     3.606668    -0.393957
     2916.50     3.536283     0.001478     3.673342     0.056791     3.618917    -0.089531     3.608246    -0.394144
     2917.00     3.537085     0.001482     3.673342     0.056791     3.618740    -0.089342     3.609823    -0.394332
     2917.50     3.538671     0.001482     3.673342     0.056791     3.618566    -0.089151     3.611398    -0.394523
     2918.00     3.539387     0.001482     3.673342     0.057338     3.618393    -0.088959     3.612970    -0.394715
     2918.50     3.540990     0.001482     3.673342     0.057509     3.618223    -0.088766     3.614540    -0.394908
     2919.00     3.541811     0.001481     3.673342     0.057614     3.618055    -0.088571     3.616109    -0.395104
     2919.50     3.543456     0.001478     3.673342     0.057649     3.617889    -0.088374     3.617674    -0.395300
     2920.00     3.544219     0.001478     3.673342     0.057738     3.619238    -0.395498     3.617725    -0.088176
     2920.50     3.545751     0.001473     3.673342     0.057738     3.620800    -0.395697     3.617564    -0.087977
     2921.00     3.547243     0.001471     3.673343     0.057750     3.622359    -0.395898     3.617405    -0.087776
     2921.50     3.548003     0.001466     3.673343     0.057841     3.623916    -0.396100     3.617248    -0.087574
     2922.00     3.549598     0.001457     3.673386     0.057872     3.625470    -0.396303     3.617093    -0.087371
     2922.50     3.550370     0.001448     3.673403     0.057938     3.627023    -0.396508     3.616941    -0.087166
     2923.00     3.552076     0.001435     3.673438     0.058046     3.628573    -0.396714     3.616791    -0.086961
     2923.50     3.552809     0.001435     3.673605     0.057938     3.630120    -0.396920     3.616643    -0.086754
     2924.00     3.554284     0.001435     3.673614     0.057880     3.631666    -0.397128     3.616498    -0.086546
     2924.50     3.555161     0.001435     3.673710     0.058046     3.633209    -0.397337     3.616355    -0.086337
     2925.00     3.556643     0.001448     3.673743     0.058046     3.634750    -0.397547     3.616214    -0.086127
     2925.50     3.558164     0.001435     3.673743     0.058059     3.636288    -0.397758     3.616075    -0.085916
     2926.00     3.558951     0.001435     3.673710     0.058150     3.637824    -0.397970     3.615939    -0.085704
     2926.50     3.560443    -0.001457     3.673710     0.058208     3.639358    -0.398182     3.615805    -0.085492
     2927.00     3.561265    -0.001460     3.673743     0.058208     3.640890    -0.398396     3.615674    -0.085278
     2927.50     3.562761    -0.001457     3.673800     0.058208     3.642419    -0.398610     3.615545    -0.085064
     2928.00     3.563552     0.001463     3.673915     0.058615     3.643946    -0.398825     3.615418    -0.084849
     2928.50     3.565048     0.001463     3.673941     0.058738     3.645470    -0.399041     3.615293    -0.084633
     2929.00     3.565892     0.001474     3.673915     0.058892     3.646992    -0.399257     3.615171    -0.084417
     2929.50     3.567442     0.001483     3.673915     0.059084     3.648512    -0.399474     3.615051    -0.084200
     2930.00     3.568961     0.001647     3.674027     0.059084     3.650030    -0.399692     3.614934    -0.083982
     2930.50     3.569680     0.001654     3.674027     0.059147     3.651545    -0.399910     3.614819    -0.083764
     2931.00     3.571209     0.001717     3.674052     0.059084     3.653058    -0.400129     3.614706    -0.083545
     2931.50     3.571926     0.001772     3.674142     0.059084     3.654568    -0.400348     3.614595    -0.083326
     2932.00     3.573280     0.001825     3.674190     0.059084     3.656077    -0.400568     3.614487    -0.083106
     2932.50     3.574841     0.001904     3.674254     0.059162     3.657583    -0.400788     3.614381    -0.082886
     2933.00     3.575528     0.001936     3.674324     0.059205     3.659086    -0.401009     3.614277    -0.082666
     2933.50     3.577129     0.002016     3.674479     0.059240     3.660588    -0.401229     3.614176    -0.082445
     2934.00     3.577881     0.002052     3.674498     0.059262     3.662087    -0.401450     3.614077    -0.082224
     2934.50     3.579489     0.002144     3.674513     0.059548     3.663584    -0.401672     3.613980    -0.082002
     2935.00     3.580183     0.002198     3.674760     0.059664     3.665078    -0.401893     3.613885    -0.081781
     2935.50     3.581676     0.002292     3.674766     0.059696     3.666571    -0.402115     3.613793    -0.081559
     2936.00     3.582546     0.002346     3.674843     0.059711     3.668061    -0.402337     3.613702    -0.081337
     2936.50     3.583997     0.002455     3.674880     0.059745     3.669549    -0.402559     3.613614    -0.081115
     2937.00     3.585758     0.002558     3.675028     0.060042     3.671035    -0.402782     3.613529    -0.080892
     2937.50     3.586590     0.002564     3.675130     0.060054     3.672519    -0.403004     3.613445    -0.080670
     2938.00     3.588244     0.002633     3.675165     0.060106     3.674000    -0.403227     3.613364    -0.080448
     2938.50     3.589101     0.002661     3.675165     0.061182     3.675479    -0.403449     3.613284    -0.080225
     2939.00     3.590580     0.002760     3.675256     0.061213     3.676956    -0.403671     3.613207    -0.080003
     2939.50     3.591361     0.002764     3.675290     0.061229     3.678432    -0.403894     3.613132    -0.079780
     2940.00     3.592912     0.002814     3.675358     0.061229     3.679904    -0.404116     3.613059    -0.079558
     2940.50     3.593689     0.002847     3.675372     0.061265     3.681375    -0.404338     3.612988    -0.079336
     2941.00     3.595249     0.002883     3.675521     0.061363     3.682844    -0.404561     3.612920    -0.079114
     2941.50     3.596954     0.002929     3.675539     0.062928     3.684311    -0.404783     3.612853    -0.078892
     2942.00     3.597659     0.002965     3.675582     0.063027     3.685775    -0.405004     3.612788    -0.078670
     2942.50     3.599413     0.002970     3.675604     0.063205     3.687238    -0.405226     3.612726    -0.078448
     2943.00     3.600276     0.002970     3.675741     0.063205     3.688698    -0.405448     3.612665    -0.078227
     2943.50     3.601918     0.002970     3.675790     0.063472     3.690157    -0.405669     3.612606    -0.078005
     2944.00     3.602626     0.002970     3.675793     0.063901     3.691614    -0.405890     3.612550    -0.077784
     2944.50     3.604222     0.002979     3.675793     0.064776     3.693068    -0.406111     3.612495    -0.077564
     2945.00     3.604940     0.002979     3.675793     0.064776     3.694521    -0.406331     3.612443    -0.077343
     2945.50     3.606723     0.002979     3.675790     0.065446     3.695972    -0.406551     3.612392    -0.077123
     2946.00     3.608163     0.002968     3.675604     0.065876     3.697421    -0.406771     3.612343    -0.076904
     2946.50     3.609095     0.002968     3.675582     0.066813     3.698867    -0.406990     3.612296    -0.076684
     2947.00     3.610570     0.002949     3.675453     0.067445     3.700313    -0.407209     3.612251    -0.076465
     2947.50     3.611361     0.002925     3.675101     0.069560     3.701756    -0.407428     3.612208    -0.076247
     2948.00     3.613014     0.002907     3.675085     0.071868     3.703197    -0.407646     3.612167    -0.076028
     2948.50     3.613821     0.002850     3.674944     0.072797     3.704637    -0.407864     3.612127    -0.075811
     2949.00     3.615370     0.002815     3.674479     0.073197     3.706074    -0.408081     3.612089    -0.075593
     2949.50     3.616042     0.002811     3.673590     0.076122     3.707510    -0.408298     3.612053    -0.075377
     2950.00     3.617768     0.002722     3.673036     0.077980     3.708944    -0.408514     3.612019    -0.075160
     2950.50     3.619263     0.002695     3.672266     0.079975     3.710377    -0.408730     3.611987    -0.074944
     2951.00     3.620166     0.002682     3.671999     0.080665     3.711807    -0.408945     3.611956    -0.074729
     2951.50     3.621942     0.002682     3.671125     0.082834     3.713236    -0.409160     3.611927    -0.074514
     2952.00     3.622641     0.002682     3.671097     0.082992     3.714664    -0.409374     3.611900    -0.074300
     2952.50     3.624621     0.002682     3.668908     0.086877     3.716089    -0.409588     3.611874    -0.074086
     2953.00     3.625544     0.002682     3.668109     0.088138     3.717513    -0.409801     3.611851    -0.073873
     2953.50     3.630444     0.002682     3.667345     0.089528     3.718935    -0.410013     3.611828    -0.073661
     2954.00     3.636140     0.003321     3.665047     0.092821     3.720356    -0.410225     3.611808    -0.073449
     2954.50     3.637481     0.003321     3.664022     0.094310     3.721775    -0.410436     3.611789    -0.073238
     2955.00     3.638970     0.003321     3.662871     0.095891     3.723192    -0.410647     3.611771    -0.073027
     2955.50     3.638970     0.003321     3.662360     0.096275     3.724608    -0.410857     3.611755    -0.072817
     2956.00     3.639583     0.003321     3.661281     0.097579     3.726022    -0.411066     3.611741    -0.072608
     2956.50     3.639583     0.003343     3.660960     0.097996     3.727435    -0.411275     3.611728    -0.072399
     2957.00     3.639583     0.003343     3.660177     0.098532     3.728846    -0.411483     3.611717    -0.072191
     2957.50     3.639583     0.003343     3.659451     0.099302     3.730256    -0.411690     3.611708    -0.071984
     2958.00     3.639583     0.003343     3.658539     0.099999     3.731664    -0.411897     3.611699    -0.071777
     2958.50     3.569649     0.003343     3.658269     0.100012     3.733071    -0.412103     3.611692    -0.071571
     2959.00     3.569649     0.003321     3.657485     0.100641     3.734476    -0.412308     3.611687    -0.071366
     2959.50     3.569649     0.003207     3.656846     0.100927     3.735880    -0.412512     3.611683    -0.071162
     2960.00     3.569649     0.003132     3.656294     0.101105     3.737283    -0.412716     3.611681    -0.070958
     2960.50     3.569649     0.003008     3.655761     0.101294     3.738684    -0.412919     3.611680    -0.070755
     2961.00     3.646279     0.003008     3.655445     0.101382     3.740084    -0.413121     3.611680    -0.070553
     2961.50     3.830344     0.003609     3.654725     0.101382     3.741482    -0.413323     3.611682    -0.070351
     2962.00     3.847090     0.003609     3.654725     0.101382     3.742879    -0.413524     3.611685    -0.070151
     2962.50     3.849813     0.003609     3.654463     0.101382     3.744274    -0.413724     3.611689    -0.069951
     2963.00     3.860462     0.003609     3.654061     0.101382     3.745669    -0.413923     3.611695    -0.069751
     2963.50     3.877234     0.003609     3.654009     0.101294     3.747062    -0.414121     3.611702    -0.069553
     2964.00     3.894307     0.003609     3.653797     0.100617     3.748454    -0.414319     3.611710    -0.069355
     2964.50     3.894307     0.003874     3.653680     0.099277     3.749844    -0.414516     3.611719    -0.069159
     2965.00     3.894307     0.005789     3.653629     0.099208     3.751233    -0.414712     3.611730    -0.068963
     2965.50     3.894307     0.006614     3.653127     0.099157     3.752621    -0.414907     3.611742    -0.068767
     2966.00     3.894307     0.022904     3.652988     0.099077     3.754008    -0.415101     3.611755    -0.068573
     2966.50     3.894307     0.148810     3.652368     0.099053     3.755394    -0.415295     3.611770    -0.068380
     2967.00     3.817570     0.154135     3.651606     0.099031     3.756778    -0.415487     3.611785    -0.068187
